Sale ID,Date,Region,State,City,Dealer ID,Model,Category,Units Sold,Unit Price,Revenue,Ex Showroom Price,CC,Fuel Type,Launch Year
S111,03-04-2025,West,Maharashtra,Bhandara,D166,Pulsar N160,Bike,21,114000,2394000,114000,160,Petrol,2022
S112,21-12-2025,West,Maharashtra,Amravati,D167,Avenger 220,Bike,32,151000,4832000,151000,220,Petrol,2010
S113,11-02-2025,West,Maharashtra,Chhindwara,D168,Dominar 400,Bike,19,255000,4845000,255000,373,Petrol,2016
S114,09-11-2025,West,Maharashtra,Nagpur,D169,Pulsar NS400Z,Bike,15,320000,4800000,320000,400,Petrol,2023
S115,26-08-2025,West,Maharashtra,Wardha,D170,Pulsar 220 F,Bike,26,160000,4160000,160000,220,Petrol,2021
S116,07-03-2025,West,Maharashtra,Nagpur,D151,Pulsar NS400Z,Bike,14,312000,4368000,312000,400,Petrol,2023
S117,14-06-2025,West,Maharashtra,Wardha,D152,Pulsar 220 F,Bike,19,157000,2983000,157000,220,Petrol,2021
S118,05-01-2025,West,Maharashtra,Chandrapur,D153,Pulsar N125,Bike,28,106500,2982000,106500,125,Petrol,2022
S119,20-07-2025,West,Maharashtra,Bhandara,D154,Pulsar N160,Bike,25,112000,2800000,112000,160,Petrol,2022
S120,08-10-2025,West,Maharashtra,Amravati,D155,Avenger 220,Bike,30,149500,4485000,149500,220,Petrol,2010
S121,29-12-2025,West,Maharashtra,Chhindwara,D156,Dominar 400,Bike,18,252000,4536000,252000,373,Petrol,2016
S122,16-01-2025,South,Karnataka,Bengaluru,D157,Pulsar 150,Bike,40,115000,4600000,115000,150,Petrol,2002
S123,22-04-2025,North,Delhi,Rohini,D158,Pulsar 180,Bike,35,122000,4270000,122000,180,Petrol,2005
S124,05-01-2025,West,Maharashtra,Pune,D159,Pulsar NS400Z,Bike,15,315000,4725000,315000,400,Petrol,2023
S125,22-02-2025,South,Telangana,Hyderabad,D160,Dominar 400,Bike,21,254000,5334000,254000,373,Petrol,2016
S126,18-03-2025,West,Maharashtra,Nagpur,D161,Avenger 220,Bike,32,150500,4816000,150500,220,Petrol,2010
S127,30-01-2025,South,TN,Chennai,D162,Pulsar 220 F,Bike,23,158000,3634000,158000,220,Petrol,2021
S128,14-07-2025,North,Uttar Pradesh,Lucknow,D163,Pulsar N125,Bike,27,108500,2929500,108500,125,Petrol,2022
S129,02-12-2025,East,West Bengal,Kolkata,D164,Pulsar N160,Bike,26,113000,2938000,113000,160,Petrol,2022
S130,19-04-2025,West,Maharashtra,Bhandara,D165,Avenger 220,Bike,28,151000,4228000,151000,220,Petrol,2010
S131,27-06-2025,West,Maharashtra,Amravati,D166,Pulsar NS400Z,Bike,17,318000,5406000,318000,400,Petrol,2023
S132,08-09-2025,South,Karnataka,Mysuru,D167,Pulsar 150,Bike,42,116000,4872000,116000,150,Petrol,2002
S133,11-11-2025,West,Maharashtra,Chhindwara,D168,Pulsar 220 F,Bike,25,160500,4012500,160500,220,Petrol,2021
S134,03-01-2025,North,Delhi,Dwarka,D169,Pulsar N125,Bike,30,107500,3225000,107500,125,Petrol,2022
S135,17-01-2025,West,Maharashtra,Wardha,D170,Pulsar N160,Bike,22,114500,2519000,114500,160,Petrol,2022
S136,29-01-2025,West,Maharashtra,Chandrapur,D171,Dominar 400,Bike,19,255500,4854500,255500,373,Petrol,2016
S137,10-02-2025,South,Telangana,Warangal,D172,Avenger 220,Bike,31,149800,4643800,149800,220,Petrol,2010
S138,23-02-2025,West,Maharashtra,Amravati,D173,Pulsar NS400Z,Bike,16,320000,5120000,320000,400,Petrol,2023
S139,06-03-2025,North,Uttar Pradesh,Ghaziabad,D174,Pulsar 220 F,Bike,24,159500,3828000,159500,220,Petrol,2021
S140,19-03-2025,South,TN,Madurai,D175,Pulsar 150,Bike,39,117000,4563000,117000,150,Petrol,2002
S141,02-04-2025,West,Maharashtra,Bhandara,D176,Pulsar N125,Bike,28,108000,3024000,108000,125,Petrol,2022
S142,15-04-2025,West,Maharashtra,Nagpur,D177,Pulsar N160,Bike,23,115000,2645000,115000,160,Petrol,2022
S143,28-04-2025,West,Maharashtra,Chhindwara,D178,Dominar 400,Bike,21,253000,5313000,253000,373,Petrol,2016
S144,11-05-2025,West,Maharashtra,Wardha,D179,Avenger 220,Bike,29,150200,4355800,150200,220,Petrol,2010
S145,24-05-2025,South,Karnataka,Hubli,D180,Pulsar NS400Z,Bike,18,319500,5751000,319500,400,Petrol,2023
